[LOG] INFO [IExchangeSimulator::setLoggerLogFile] Logger log file set to: RegressionTests/Baseline/ZeroIntelligenceSimulatorSimpleSantaFeModelLargeTime.baseline.txt
[LOG] INFO Lobster messages:
    time,    type,     oid,     qty,      px,     dir
   56665,       2,    1020,       1,10220000,      -1
   56669,       2,    1015,       1,10170000,      -1
   56675,       4,   11180,       1, 9920000,      -1
   56682,       4,   11181,       1, 9910000,      -1
   56687,       3,   11105,       1, 9800000,       1
   56693,       1,   11182,       1, 9900000,       1
   56698,       1,   11183,       1, 9810000,       1
   56701,       3,   11168,       1, 9990000,      -1
   56707,       1,   11184,       1,10100000,      -1
   56710,       3,   11009,       1, 9810000,       1
   56716,       1,   11185,       1,10060000,      -1
   56721,       1,   11186,       1, 9910000,       1
   56724,       3,      20,       1, 9790000,       1
   56728,       2,      15,       1, 9840000,       1
   56732,       2,      15,       1, 9840000,       1
   56736,       3,   11034,       1, 9880000,       1
   56742,       1,   11187,       1, 9940000,      -1
   56747,       4,   11188,       1, 9940000,       1
   56754,       4,   11189,       1,10040000,       1
   56761,       1,   11190,       1,10000000,      -1
   56766,       1,   11191,       1, 9800000,       1
   56771,       1,   11192,       1, 9920000,      -1
   56776,       1,   11193,       1, 9870000,       1
   56779,       2,      16,       1, 9830000,       1
   56783,       2,      11,       1, 9880000,       1
   56789,       1,   11194,       1, 9900000,       1
   56792,       2,      26,       1, 9730000,       1
   56796,       2,    1012,       1,10140000,      -1
   56800,       3,   11107,       1,10170000,      -1
   56806,       4,   11195,       1, 9920000,       1
   56811,       3,      26,       1, 9730000,       1
   56817,       4,   11196,       1,10000000,       1
   56824,       1,   11197,       1,10040000,       1
   56827,       2,    1022,       1,10240000,      -1
   56833,       1,   11198,       1,10220000,      -1
   56838,       1,   11199,       1, 9910000,       1
   56843,       1,   11200,       1,10310000,      -1
   56848,       1,   11201,       1,10270000,      -1
   56853,       4,   11202,       1,10040000,      -1
   56858,       2,      13,       1, 9860000,       1
   56864,       1,   11203,       1, 9770000,       1
   56867,       3,   11109,       1, 9870000,       1
   56871,       3,    1008,       1,10100000,      -1
   56877,       1,   11204,       1, 9960000,       1
   56882,       4,   11205,       1, 9960000,      -1
   56887,       2,      22,       1, 9770000,       1
   56891,       3,   11203,       1, 9770000,       1
   56897,       1,   11206,       1,10090000,      -1
   56900,       2,    1017,       1,10190000,      -1
   56904,       2,      22,       1, 9770000,       1
   56910,       1,   11207,       1, 9810000,       1
   56915,       1,   11208,       1,10030000,       1
   56920,       4,   11209,       1,10030000,      -1
   56927,       1,   11210,       1,10200000,      -1
   56932,       1,   11211,       1, 9920000,      -1
   56935,       2,      35,       1, 9640000,       1
   56941,       4,   11212,       1, 9910000,      -1
   56946,       3,   11082,       1, 9860000,       1
   56952,       4,   11213,       1, 9920000,       1
   56959,       1,   11214,       1, 9870000,       1
   56964,       4,   11215,       1, 9910000,      -1
   56971,       4,   11216,       1,10060000,       1
   56978,       4,   11217,       1,10060000,       1
   56983,       3,   11126,       1, 9880000,       1
   56987,       3,   11128,       1,10090000,      -1
   56991,       3,    1007,       1,10090000,      -1
   56995,       2,    1011,       1,10130000,      -1
   57001,       4,   11218,       1,10070000,       1
   57006,       3,   11066,       1,10160000,      -1
   57012,       1,   11219,       1,10080000,      -1
   57017,       1,   11220,       1,10010000,       1
   57022,       1,   11221,       1,10090000,      -1
   57027,       4,   11222,       1,10070000,       1
   57034,       1,   11223,       1,10050000,      -1
   57037,       3,   11030,       1,10270000,      -1
   57043,       1,   11224,       1,10240000,      -1
   57048,       1,   11225,       1,10000000,       1
   57051,       3,   11132,       1, 9790000,       1
   57055,       3,   11032,       1,10310000,      -1
   57059,       3,   11171,       1,10140000,      -1
   57065,       1,   11226,       1,10240000,      -1
   57070,       1,   11227,       1,10230000,      -1
   57075,       1,   11228,       1, 9910000,       1
   57080,       1,   11229,       1, 9780000,       1
   57085,       1,   11230,       1, 9900000,       1
   57090,       4,   11231,       1,10010000,      -1
   57097,       1,   11232,       1,10290000,      -1
   57102,       1,   11233,       1, 9750000,       1
   57105,       2,    1010,       1,10120000,      -1
   57111,       1,   11234,       1, 9800000,       1
   57114,       3,   11073,       1, 9810000,       1
   57120,       1,   11235,       1,10050000,      -1
   57125,       1,   11236,       1,10120000,      -1
   57128,       3,    1020,       1,10220000,      -1
   57132,       2,    1026,       1,10280000,      -1
   57136,       3,   11184,       1,10100000,      -1
   57142,       4,   11237,       1,10000000,      -1
   57149,       4,   11238,       1,10050000,       1
   57156,       1,   11239,       1, 9970000,       1
   57159,       3,   11056,       1, 9830000,       1
   57163,       3,      22,       1, 9770000,       1
   57169,       1,   11240,       1,10030000,       1
   57174,       1,   11241,       1,10280000,      -1
   57179,       4,   11242,       1,10030000,      -1
   57184,       2,      23,       1, 9760000,       1
   57190,       1,   11243,       1,10160000,      -1
   57195,       1,   11244,       1,10250000,      -1
   57198,       3,   11141,       1,10200000,      -1
   57204,       1,   11245,       1,10140000,      -1
   57209,       1,   11246,       1,10120000,      -1
   57214,       4,   11247,       1,10050000,       1
   57221,       1,   11248,       1,10150000,      -1
   57224,       3,   11146,       1,10200000,      -1
   57230,       1,   11249,       1,10000000,       1
   57233,       3,   11162,       1,10080000,      -1
   57239,       1,   11250,       1, 9970000,       1
   57244,       1,   11251,       1,10150000,      -1
   57249,       4,   11252,       1,10080000,       1
   57256,       1,   11253,       1, 9850000,       1
   57259,       3,   11174,       1, 9790000,       1
   57265,       1,   11254,       1,10190000,      -1
   57268,       3,    1018,       1,10200000,      -1
   57274,       1,   11255,       1,10180000,      -1
   57279,       4,   11256,       1,10090000,       1
   57284,       2,    1024,       1,10260000,      -1
   57288,       2,    1013,       1,10150000,      -1
   57294,       1,   11257,       1, 9930000,       1
   57297,       3,      15,       1, 9840000,       1
   57303,       1,   11258,       1,10190000,      -1
   57308,       1,   11259,       1,10130000,      -1
   57313,       4,   11260,       1,10090000,       1
   57320,       4,   11261,       1,10090000,       1
   57327,       1,   11262,       1,10200000,      -1
   57332,       4,   11263,       1,10000000,      -1
   57339,       1,   11264,       1,10060000,       1
   57344,       4,   11265,       1,10060000,      -1
   57351,       1,   11266,       1, 9880000,       1
   57356,       1,   11267,       1,10110000,      -1
   57361,       1,   11268,       1,10000000,       1
   57366,       4,   11269,       1,10110000,       1
   57373,       1,   11270,       1,10080000,      -1
   57378,       1,   11271,       1, 9960000,       1
   57383,       1,   11272,       1,10240000,      -1
   57386,       3,   11033,       1,10280000,      -1
   57392,       1,   11273,       1,10020000,      -1
   57395,       3,   11228,       1, 9910000,       1
   57401,       4,   11274,       1,10000000,      -1
   57408,       1,   11275,       1, 9750000,       1
   57413,       4,   11276,       1, 9970000,      -1
   57418,       3,   11138,       1, 9850000,       1
   57422,       3,   11147,       1, 9880000,       1
